thing,ts,prop_brhum,prop_lrlight,prop_offlight,prop_lrtemp,prop_offhum,prop_offtemp,prop_brlight,prop_brtemp,prop_lrhum,loc_lat,loc_lng,loc_heading,loc_speed,loc_corrId,loc_streetNumber,loc_street,loc_city,loc_state,loc_zipCode,loc_country,attr_m2x_deviceid
homehvac,1.420029027285E9,43.0,1.1,8.0,77.5,42.0,75.199997,0.0,74.0,49.400002,null,null,null,null,null,null,null,null,null,null,null,null
homehvac,1.42002956678E9,44.0,1.1,0.0,77.5,42.0,75.199997,0.0,74.0,49.400002,null,null,null,null,null,null,null,null,null,null,null,null
homehvac,1.420029087286E9,44.0,1.1,8.0,77.5,41.0,75.199997,0.0,74.0,49.400002,null,null,null,null,null,null,null,null,null,null,null,null
homehvac,1.420029506779E9,43.0,1.1,0.0,77.5,42.0,75.199997,0.0,74.0,49.400002,null,null,null,null,null,null,null,null,null,null,null,null
homehvac,1.420032690783E9,43.0,2.3,8.0,77.5,42.0,75.199997,0.0,74.0,51.0,null,null,null,null,null,null,null,null,null,null,null,null
homehvac,1.42002926728E9,44.0,1.1,8.0,77.5,41.0,75.199997,9.0,74.0,49.400002,null,null,null,null,null,null,null,null,null,null,null,null
homehvac,1.420031518282E9,44.0,2.3,0.0,77.5,42.0,75.199997,0.0,74.0,50.5,null,null,null,null,null,null,null,null,null,null,null,null
homehvac,1.420029326789E9,44.0,1.1,8.0,77.5,41.0,75.199997,0.0,74.0,49.400002,null,null,null,null,null,null,null,null,null,null,null,null
homehvac,1.420030254305E9,44.0,1.5,0.0,77.5,42.0,75.199997,0.0,74.0,49.400002,null,null,null,null,null,null,null,null,null,null,null,null
homehvac,1.420033166786E9,43.0,2.3,8.0,77.5,42.0,75.199997,0.0,74.0,51.0,null,null,null,null,null,null,null,null,null,null,null,null
homehvac,1.420028967282E9,43.0,1.1,8.0,77.5,41.0,75.199997,0.0,74.0,49.400002,null,null,null,null,null,null,null,null,null,null,null,null
homehvac,1.420032627287E9,43.0,2.3,0.0,77.5,42.0,75.199997,0.0,74.0,51.0,null,null,null,null,null,null,null,null,null,null,null,null
homehvac,1.420032445785E9,44.0,2.3,8.0,77.5,42.0,75.199997,0.0,74.0,52.099998,null,null,null,null,null,null,null,null,null,null,null,null
homehvac,1.420032418789E9,44.0,2.3,0.0,77.5,42.0,75.199997,0.0,74.0,52.099998,null,null,null,null,null,null,null,null,null,null,null,null
homehvac,1.420029506779E9,43.0,1.1,0.0,77.5,42.0,75.199997,0.0,74.0,49.400002,null,null,null,null,null,null,null,null,null,null,null,null
homehvac,1.420031246776E9,44.0,1.5,0.0,77.5,42.0,75.199997,0.0,74.0,49.400002,null,null,null,null,null,null,null,null,null,null,null,null
homehvac,1.420028907283E9,44.0,1.1,8.0,77.5,41.0,75.199997,0.0,74.0,49.400002,null,null,null,null,null,null,null,null,null,null,null,null
homehvac,1.420033286788E9,44.0,2.3,0.0,77.5,42.0,75.199997,0.0,74.0,51.0,null,null,null,null,null,null,null,null,null,null,null,null
homehvac,1.420033106351E9,44.0,2.3,8.0,77.5,42.0,75.199997,0.0,74.0,51.0,null,null,null,null,null,null,null,null,null,null,null,null
homehvac,1.420032488279E9,44.0,2.3,8.0,77.5,42.0,75.199997,0.0,74.0,51.0,null,null,null,null,null,null,null,null,null,null,null,null
homehvac,1.420032567287E9,43.0,2.3,8.0,77.5,42.0,75.199997,0.0,74.0,51.0,null,null,null,null,null,null,null,null,null,null,null,null
homehvac,1.420031452302E9,44.0,2.3,0.0,77.5,42.0,75.199997,0.0,74.0,49.400002,null,null,null,null,null,null,null,null,null,null,null,null
homehvac,1.420031007287E9,44.0,1.5,8.0,77.5,42.0,75.199997,0.0,74.0,49.400002,null,null,null,null,null,null,null,null,null,null,null,null
homehvac,1.420032866772E9,43.0,2.3,0.0,77.5,42.0,75.199997,0.0,74.0,51.0,null,null,null,null,null,null,null,null,null,null,null,null
homehvac,1.420032988352E9,43.0,2.3,8.0,77.5,42.0,75.199997,0.0,74.0,51.0,null,null,null,null,null,null,null,null,null,null,null,null
homehvac,1.420029087286E9,44.0,1.1,8.0,77.5,41.0,75.199997,0.0,74.0,49.400002,null,null,null,null,null,null,null,null,null,null,null,null
homehvac,1.420032364787E9,44.0,2.3,0.0,77.5,42.0,75.199997,0.0,74.0,53.5,null,null,null,null,null,null,null,null,null,null,null,null
homehvac,1.420032342785E9,44.0,2.3,0.0,77.5,42.0,75.199997,0.0,74.0,52.200001,null,null,null,null,null,null,null,null,null,null,null,null
homehvac,1.420030588284E9,44.0,1.5,4.0,77.5,42.0,75.199997,0.0,74.0,49.400002,null,null,null,null,null,null,null,null,null,null,null,null
homehvac,1.420033226787E9,44.0,2.3,8.0,77.5,42.0,75.199997,0.0,74.0,51.0,null,null,null,null,null,null,null,null,null,null,null,null
homehvac,1.423385866213E9,45.0,0.3,4.0,74.300003,43.0,73.0,0.0,71.699997,49.799999,null,null,null,null,null,null,null,null,null,null,null,8071ef46e93f79c516a3f1d6f5d444a6
homehvac,1.423386886213E9,45.0,0.3,4.0,74.300003,42.0,73.0,0.0,71.699997,49.799999,null,null,null,null,null,null,null,null,null,null,null,8071ef46e93f79c516a3f1d6f5d444a6
homehvac,1.423387666211E9,45.0,0.3,4.0,74.300003,42.0,73.0,0.0,71.699997,49.799999,null,null,null,null,null,null,null,null,null,null,null,8071ef46e93f79c516a3f1d6f5d444a6
homehvac,1.423387546211E9,45.0,0.3,4.0,74.300003,42.0,73.0,0.0,71.699997,49.799999,null,null,null,null,null,null,null,null,null,null,null,8071ef46e93f79c516a3f1d6f5d444a6
homehvac,1.423386826211E9,45.0,0.3,4.0,74.300003,43.0,73.0,0.0,71.699997,49.799999,null,null,null,null,null,null,null,null,null,null,null,8071ef46e93f79c516a3f1d6f5d444a6
homehvac,1.423383646211E9,45.0,0.3,4.0,74.300003,43.0,73.0,0.0,71.699997,49.799999,null,null,null,null,null,null,null,null,null,null,null,8071ef46e93f79c516a3f1d6f5d444a6
homehvac,1.423384726212E9,45.0,0.3,4.0,74.300003,42.0,73.0,0.0,71.699997,49.799999,null,null,null,null,null,null,null,null,null,null,null,8071ef46e93f79c516a3f1d6f5d444a6
homehvac,1.423385986211E9,45.0,0.3,4.0,74.300003,43.0,73.0,0.0,71.699997,49.799999,null,null,null,null,null,null,null,null,null,null,null,8071ef46e93f79c516a3f1d6f5d444a6
homehvac,1.423383946211E9,45.0,0.3,4.0,74.300003,42.0,73.0,0.0,71.699997,49.799999,null,null,null,null,null,null,null,null,null,null,null,8071ef46e93f79c516a3f1d6f5d444a6
homehvac,1.423383886265E9,45.0,0.3,4.0,74.300003,43.0,73.0,0.0,71.699997,49.799999,null,null,null,null,null,null,null,null,null,null,null,8071ef46e93f79c516a3f1d6f5d444a6
homehvac,1.423385926211E9,45.0,0.3,4.0,74.300003,42.0,73.0,0.0,71.699997,49.799999,null,null,null,null,null,null,null,null,null,null,null,8071ef46e93f79c516a3f1d6f5d444a6
homehvac,1.423387486213E9,45.0,0.3,4.0,74.300003,43.0,73.0,0.0,71.699997,49.799999,null,null,null,null,null,null,null,null,null,null,null,8071ef46e93f79c516a3f1d6f5d444a6
homehvac,1.423383766212E9,45.0,0.3,4.0,74.300003,42.0,73.0,0.0,71.699997,49.799999,null,null,null,null,null,null,null,null,null,null,null,8071ef46e93f79c516a3f1d6f5d444a6
homehvac,1.423386046212E9,45.0,0.3,4.0,74.300003,42.0,73.0,0.0,71.699997,49.799999,null,null,null,null,null,null,null,null,null,null,null,8071ef46e93f79c516a3f1d6f5d444a6
homehvac,1.42338466621E9,45.0,0.3,4.0,74.300003,42.0,73.0,9.0,71.699997,49.799999,null,null,null,null,null,null,null,null,null,null,null,8071ef46e93f79c516a3f1d6f5d444a6
homehvac,1.42338406621E9,45.0,0.3,4.0,74.300003,43.0,73.0,0.0,71.699997,49.799999,null,null,null,null,null,null,null,null,null,null,null,8071ef46e93f79c516a3f1d6f5d444a6
homehvac,1.423384126423E9,45.0,0.3,4.0,74.300003,42.0,73.0,0.0,71.699997,49.799999,null,null,null,null,null,null,null,null,null,null,null,8071ef46e93f79c516a3f1d6f5d444a6
homehvac,1.42338760621E9,45.0,0.3,4.0,74.300003,43.0,73.0,0.0,71.699997,49.799999,null,null,null,null,null,null,null,null,null,null,null,8071ef46e93f79c516a3f1d6f5d444a6
homehvac,1.423129907673E9,45.0,0.4,5.0,75.199997,42.0,74.0,0.0,73.699997,50.299999,null,null,null,null,null,null,null,null,null,null,null,8071ef46e93f79c516a3f1d6f5d444a6
homehvac,1.423132007673E9,45.0,0.4,5.0,76.300003,43.0,74.0,0.0,73.699997,50.5,null,null,null,null,null,null,null,null,null,null,null,8071ef46e93f79c516a3f1d6f5d444a6
homehvac,1.423134100669E9,46.0,0.4,5.0,76.300003,43.0,74.0,0.0,73.699997,50.799999,null,null,null,null,null,null,null,null,null,null,null,8071ef46e93f79c516a3f1d6f5d444a6
homehvac,1.423132127784E9,46.0,0.4,5.0,76.300003,43.0,74.0,0.0,73.699997,50.5,null,null,null,null,null,null,null,null,null,null,null,8071ef46e93f79c516a3f1d6f5d444a6
homehvac,1.423129706672E9,46.0,0.4,5.0,75.199997,43.0,74.0,0.0,73.699997,50.299999,null,null,null,null,null,null,null,null,null,null,null,8071ef46e93f79c516a3f1d6f5d444a6
homehvac,1.423133267668E9,46.0,0.4,5.0,76.300003,43.0,74.0,0.0,73.699997,50.5,null,null,null,null,null,null,null,null,null,null,null,8071ef46e93f79c516a3f1d6f5d444a6
homehvac,1.42312978767E9,45.0,0.4,5.0,75.199997,43.0,74.0,0.0,73.699997,50.299999,null,null,null,null,null,null,null,null,null,null,null,8071ef46e93f79c516a3f1d6f5d444a6
homehvac,1.42313344767E9,46.0,0.4,5.0,76.300003,43.0,74.0,9.0,73.699997,50.5,null,null,null,null,null,null,null,null,null,null,null,8071ef46e93f79c516a3f1d6f5d444a6
homehvac,1.423131310669E9,46.0,0.4,5.0,76.300003,43.0,74.0,0.0,73.699997,50.5,null,null,null,null,null,null,null,null,null,null,null,8071ef46e93f79c516a3f1d6f5d444a6
homehvac,1.423129847684E9,45.0,0.4,5.0,75.199997,43.0,74.0,9.0,73.699997,50.299999,null,null,null,null,null,null,null,null,null,null,null,8071ef46e93f79c516a3f1d6f5d444a6
homehvac,1.423133507671E9,46.0,0.4,5.0,76.300003,43.0,74.0,0.0,73.699997,50.5,null,null,null,null,null,null,null,null,null,null,null,8071ef46e93f79c516a3f1d6f5d444a6
homehvac,1.42313403667E9,46.0,0.4,5.0,76.300003,43.0,74.0,0.0,73.699997,52.099998,null,null,null,null,null,null,null,null,null,null,null,8071ef46e93f79c516a3f1d6f5d444a6
homehvac,1.423131278669E9,46.0,0.4,5.0,75.199997,43.0,74.0,0.0,73.699997,51.5,null,null,null,null,null,null,null,null,null,null,null,8071ef46e93f79c516a3f1d6f5d444a6
homehvac,1.423130327669E9,45.0,0.4,5.0,75.199997,43.0,74.0,0.0,73.699997,50.299999,null,null,null,null,null,null,null,null,null,null,null,8071ef46e93f79c516a3f1d6f5d444a6
homehvac,1.423134069669E9,46.0,0.4,5.0,76.300003,43.0,74.0,0.0,73.699997,52.0,null,null,null,null,null,null,null,null,null,null,null,8071ef46e93f79c516a3f1d6f5d444a6
homehvac,1.423133207669E9,46.0,0.4,5.0,76.300003,43.0,74.0,9.0,73.699997,50.5,null,null,null,null,null,null,null,null,null,null,null,8071ef46e93f79c516a3f1d6f5d444a6
homehvac,1.423133927671E9,46.0,0.4,5.0,76.300003,43.0,74.0,0.0,73.699997,50.5,null,null,null,null,null,null,null,null,null,null,null,8071ef46e93f79c516a3f1d6f5d444a6
homehvac,1.423130147679E9,45.0,0.4,5.0,75.199997,42.0,74.0,0.0,73.699997,50.299999,null,null,null,null,null,null,null,null,null,null,null,8071ef46e93f79c516a3f1d6f5d444a6
homehvac,1.42312990767E9,45.0,0.4,5.0,75.199997,42.0,74.0,0.0,73.699997,50.299999,null,null,null,null,null,null,null,null,null,null,null,8071ef46e93f79c516a3f1d6f5d444a6
homehvac,1.42313404767E9,46.0,0.4,5.0,76.300003,43.0,74.0,0.0,73.699997,53.099998,null,null,null,null,null,null,null,null,null,null,null,8071ef46e93f79c516a3f1d6f5d444a6
homehvac,1.423131767676E9,45.0,0.4,5.0,76.300003,42.0,74.0,0.0,73.699997,50.5,null,null,null,null,null,null,null,null,null,null,null,8071ef46e93f79c516a3f1d6f5d444a6
homehvac,1.42313046967E9,46.0,0.4,5.0,75.199997,43.0,74.0,0.0,73.699997,51.299999,null,null,null,null,null,null,null,null,null,null,null,8071ef46e93f79c516a3f1d6f5d444a6
homehvac,1.423129589671E9,46.0,0.4,5.0,75.199997,43.0,74.0,0.0,73.699997,51.299999,null,null,null,null,null,null,null,null,null,null,null,8071ef46e93f79c516a3f1d6f5d444a6
homehvac,1.423131707669E9,45.0,0.4,5.0,76.300003,43.0,74.0,0.0,73.699997,50.5,null,null,null,null,null,null,null,null,null,null,null,8071ef46e93f79c516a3f1d6f5d444a6
homehvac,1.423133627669E9,45.0,0.4,5.0,76.300003,43.0,74.0,0.0,73.699997,50.5,null,null,null,null,null,null,null,null,null,null,null,8071ef46e93f79c516a3f1d6f5d444a6
homehvac,1.423130387674E9,46.0,0.4,5.0,75.199997,43.0,74.0,0.0,73.699997,50.299999,null,null,null,null,null,null,null,null,null,null,null,8071ef46e93f79c516a3f1d6f5d444a6
homehvac,1.423130533669E9,46.0,0.4,5.0,75.199997,43.0,74.0,0.0,73.699997,50.299999,null,null,null,null,null,null,null,null,null,null,null,8071ef46e93f79c516a3f1d6f5d444a6
homehvac,1.423131288725E9,46.0,0.4,5.0,76.300003,43.0,74.0,0.0,73.699997,51.5,null,null,null,null,null,null,null,null,null,null,null,8071ef46e93f79c516a3f1d6f5d444a6
homehvac,1.423130090678E9,45.0,0.4,5.0,75.199997,43.0,74.0,0.0,73.699997,50.299999,null,null,null,null,null,null,null,null,null,null,null,8071ef46e93f79c516a3f1d6f5d444a6
homehvac,1.424941431719E9,45.0,0.4,4.0,76.400002,43.0,73.900002,0.0,72.5,50.0,null,null,null,null,null,null,null,null,null,null,null,8071ef46e93f79c516a3f1d6f5d444a6
homehvac,1.42494304872E9,45.0,0.4,4.0,76.400002,42.0,73.900002,9.0,72.5,50.200001,null,null,null,null,null,null,null,null,null,null,null,8071ef46e93f79c516a3f1d6f5d444a6
homehvac,1.424942508805E9,45.0,0.4,4.0,76.400002,42.0,73.900002,0.0,72.5,50.200001,null,null,null,null,null,null,null,null,null,null,null,8071ef46e93f79c516a3f1d6f5d444a6
homehvac,1.424943049123E9,45.0,0.4,4.0,76.400002,42.0,73.900002,0.0,72.5,50.200001,null,null,null,null,null,null,null,null,null,null,null,8071ef46e93f79c516a3f1d6f5d444a6
homehvac,1.42494034872E9,45.0,0.4,4.0,76.400002,43.0,73.900002,0.0,72.5,50.0,null,null,null,null,null,null,null,null,null,null,null,8071ef46e93f79c516a3f1d6f5d444a6
homehvac,1.424943408669E9,45.0,0.4,4.0,76.400002,43.0,73.900002,0.0,72.5,51.200001,null,null,null,null,null,null,null,null,null,null,null,8071ef46e93f79c516a3f1d6f5d444a6
homehvac,1.424943543667E9,45.0,0.4,4.0,76.400002,42.0,73.900002,0.0,72.5,50.0,null,null,null,null,null,null,null,null,null,null,null,8071ef46e93f79c516a3f1d6f5d444a6
homehvac,1.424943521668E9,45.0,0.4,4.0,76.400002,42.0,73.900002,0.0,72.5,51.0,null,null,null,null,null,null,null,null,null,null,null,8071ef46e93f79c516a3f1d6f5d444a6
homehvac,1.42494263202E9,45.0,0.4,4.0,76.400002,42.0,73.900002,0.0,72.5,50.200001,null,null,null,null,null,null,null,null,null,null,null,8071ef46e93f79c516a3f1d6f5d444a6
homehvac,1.424940648721E9,45.0,0.4,4.0,76.400002,43.0,73.900002,0.0,72.5,50.0,null,null,null,null,null,null,null,null,null,null,null,8071ef46e93f79c516a3f1d6f5d444a6
homehvac,1.424942568719E9,46.0,0.4,4.0,76.400002,42.0,73.900002,0.0,72.5,50.200001,null,null,null,null,null,null,null,null,null,null,null,8071ef46e93f79c516a3f1d6f5d444a6
homehvac,1.424942208722E9,45.0,0.4,4.0,76.400002,43.0,73.900002,0.0,72.5,50.0,null,null,null,null,null,null,null,null,null,null,null,8071ef46e93f79c516a3f1d6f5d444a6
homehvac,1.424943468673E9,45.0,0.4,4.0,76.400002,42.0,73.900002,0.0,72.5,50.0,null,null,null,null,null,null,null,null,null,null,null,8071ef46e93f79c516a3f1d6f5d444a6
homehvac,1.424941548722E9,45.0,0.4,4.0,76.400002,42.0,73.900002,0.0,72.5,50.0,null,null,null,null,null,null,null,null,null,null,null,8071ef46e93f79c516a3f1d6f5d444a6
homehvac,1.424942482115E9,45.0,0.4,4.0,76.400002,43.0,73.900002,0.0,72.5,50.200001,null,null,null,null,null,null,null,null,null,null,null,8071ef46e93f79c516a3f1d6f5d444a6
homehvac,1.42494244872E9,45.0,0.4,4.0,76.400002,43.0,73.900002,0.0,72.5,51.400002,null,null,null,null,null,null,null,null,null,null,null,8071ef46e93f79c516a3f1d6f5d444a6
homehvac,1.424943468672E9,45.0,0.4,4.0,76.400002,42.0,73.900002,0.0,72.5,50.0,null,null,null,null,null,null,null,null,null,null,null,8071ef46e93f79c516a3f1d6f5d444a6
homehvac,1.424941431719E9,45.0,0.4,4.0,76.400002,43.0,73.900002,0.0,72.5,50.0,null,null,null,null,null,null,null,null,null,null,null,8071ef46e93f79c516a3f1d6f5d444a6
homehvac,1.424942988724E9,45.0,0.4,4.0,76.400002,43.0,73.900002,9.0,72.5,50.200001,null,null,null,null,null,null,null,null,null,null,null,8071ef46e93f79c516a3f1d6f5d444a6
homehvac,1.42494298872E9,45.0,0.4,4.0,76.400002,43.0,73.900002,9.0,72.5,50.200001,null,null,null,null,null,null,null,null,null,null,null,8071ef46e93f79c516a3f1d6f5d444a6
homehvac,1.424942268721E9,45.0,0.4,4.0,76.400002,42.0,73.900002,0.0,72.5,50.0,null,null,null,null,null,null,null,null,null,null,null,8071ef46e93f79c516a3f1d6f5d444a6
homehvac,1.424940711719E9,45.0,0.4,4.0,76.400002,42.0,73.900002,0.0,72.5,50.0,null,null,null,null,null,null,null,null,null,null,null,8071ef46e93f79c516a3f1d6f5d444a6
homehvac,1.424942426722E9,45.0,0.4,4.0,76.400002,42.0,73.900002,0.0,72.5,51.400002,null,null,null,null,null,null,null,null,null,null,null,8071ef46e93f79c516a3f1d6f5d444a6
homehvac,1.424940110721E9,45.0,0.4,4.0,76.400002,42.0,73.900002,0.0,72.5,50.0,null,null,null,null,null,null,null,null,null,null,null,8071ef46e93f79c516a3f1d6f5d444a6
homehvac,1.424941368722E9,45.0,0.4,4.0,76.400002,42.0,73.900002,9.0,72.5,50.0,null,null,null,null,null,null,null,null,null,null,null,8071ef46e93f79c516a3f1d6f5d444a6
homehvac,1.424940408999E9,45.0,0.4,4.0,76.400002,42.0,73.900002,0.0,72.5,50.0,null,null,null,null,null,null,null,null,null,null,null,8071ef46e93f79c516a3f1d6f5d444a6
homehvac,1.424943366705E9,45.0,0.4,4.0,76.400002,42.0,73.900002,0.0,72.5,51.200001,null,null,null,null,null,null,null,null,null,null,null,8071ef46e93f79c516a3f1d6f5d444a6
homehvac,1.424939328724E9,45.0,0.4,4.0,76.400002,42.0,73.900002,0.0,72.5,49.0,null,null,null,null,null,null,null,null,null,null,null,8071ef46e93f79c516a3f1d6f5d444a6
homehvac,1.41738598013E9,41.0,17.6,9.0,76.0,38.0,71.900002,8.0,70.599998,43.5,null,null,null,null,null,null,null,null,null,null,null,null
homehvac,1.417385923131E9,41.0,17.6,8.0,76.0,38.0,71.900002,0.0,70.599998,43.5,null,null,null,null,null,null,null,null,null,null,null,null
homehvac,1.417389043134E9,41.0,0.3,5.0,76.0,38.0,71.900002,9.0,70.599998,44.5,null,null,null,null,null,null,null,null,null,null,null,null
homehvac,1.417387239134E9,41.0,0.3,5.0,76.0,38.0,71.900002,9.0,70.599998,44.5,null,null,null,null,null,null,null,null,null,null,null,null
homehvac,1.417386882151E9,41.0,0.3,5.0,76.0,38.0,71.900002,9.0,70.599998,43.5,null,null,null,null,null,null,null,null,null,null,null,null
homehvac,1.417386223134E9,41.0,17.6,5.0,76.0,38.0,71.900002,0.0,70.599998,43.5,null,null,null,null,null,null,null,null,null,null,null,null
homehvac,1.417386223134E9,41.0,17.6,5.0,76.0,38.0,71.900002,0.0,70.599998,43.5,null,null,null,null,null,null,null,null,null,null,null,null
homehvac,1.41738598013E9,41.0,17.6,9.0,76.0,38.0,71.900002,8.0,70.599998,43.5,null,null,null,null,null,null,null,null,null,null,null,null
homehvac,1.417386283131E9,41.0,17.6,5.0,76.0,38.0,71.900002,9.0,70.599998,43.5,null,null,null,null,null,null,null,null,null,null,null,null
homehvac,1.417388983133E9,41.0,0.3,5.0,76.0,38.0,71.900002,0.0,70.599998,44.5,null,null,null,null,null,null,null,null,null,null,null,null
homehvac,1.419008273297E9,42.0,37.900002,124.0,75.599998,42.0,73.199997,0.0,74.0,50.5,null,null,null,null,null,null,null,null,null,null,null,null
homehvac,1.419005787413E9,42.0,55.700001,116.0,75.599998,43.0,72.199997,0.0,74.0,50.5,null,null,null,null,null,null,null,null,null,null,null,null
homehvac,1.419008367741E9,42.0,25.4,98.0,75.599998,42.0,73.199997,0.0,74.0,50.5,null,null,null,null,null,null,null,null,null,null,null,null
homehvac,1.419008427792E9,42.0,41.299999,109.0,75.599998,43.0,73.199997,0.0,74.0,50.5,null,null,null,null,null,null,null,null,null,null,null,null
homehvac,1.419008377804E9,42.0,30.700001,64.0,75.599998,42.0,73.199997,0.0,74.0,50.5,null,null,null,null,null,null,null,null,null,null,null,null
homehvac,1.419009158239E9,42.0,43.799999,128.0,75.599998,42.0,73.199997,0.0,74.0,50.5,null,null,null,null,null,null,null,null,null,null,null,null
homehvac,1.419005359785E9,42.0,55.700001,116.0,75.599998,42.0,72.199997,0.0,74.0,50.5,null,null,null,null,null,null,null,null,null,null,null,null
