latitude,longitude,temperature,humidity
-8.1675,113.5024,25.78,90.69
13.54039,-14.76374,31.94,75.79
32.6868,120.25441,10.52,101.01
48.44061,38.732,22.58,54.58
38.67028,125.77611,17.88,45.51
56.91196,36.22862,17.99,95.52
29.48801,105.86765,23.15,110.39
29.80224,119.62397,19.86,78.26
59.04709,57.64767,15.06,71.59
28.83071,104.32077,26.77,57.94
39.9765,-8.5841,22.63,66.4
-31.25033,-61.4867,19.31,102.43
18.28651,95.32014,25.56,89.07
18.6097,-95.2375,17.5,70.1
5.70632,6.43741,23.66,107.96
4.6118,101.1135,20.33,61.84
35.65892,101.81861,20.56,83.48
51.1833,7.2556,12.32,104.71
-8.5707,115.2389,15.56,55.84
51.71038,17.99337,14.3,68.33
28.3111,107.50492,19.03,74.48
56.6616,16.3616,24.74,69.7
56.14733,44.19787,24.72,85.12
-7.3977,107.8386,17.94,89.04
-20.93333,29,28.24,69.24
53.69554,17.55701,26.65,90.99
31.30082,109.56035,24.91,75.38
51.60594,17.53053,25.4,86.92
55.70033,37.74271,20.13,79.04
57.7072,11.9668,28.56,89.95
-7.8073,108.2926,17.45,62.27
8.53333,-82.68333,21.42,65.74
7.89389,125.27639,22.31,127.67
24.57204,112.07532,26.34,78.97
50.10659,36.12112,13,62.13
43.7251,-80.96723,13.85,64.54
15.6199,120.377,9.9,108.05
-27.05413,-65.40329,10.94,58.41
-7.0121,112.4618,18.94,79.22
24.74745,67.92353,16.91,74.74
6.59422,3.33748,24.48,84.31
32.12819,113.4468,24.18,58.22
49.65811,18.52777,19.11,111.15
33.28234,113.4596,21.47,93.02
-23.85972,35.34722,20.35,110.65
-24.98132,-58.5521,16.35,48.51
44.1994,86.45808,22.74,79.53
-8.0467,112.4457,13.35,89.85
-23.5325,-46.79167,18.32,86.2
-4.33112,20.58638,17.49,60.06
35.25459,24.63495,20.84,107.22
-7.2796,108.1674,25.87,114.02
19.31102,-69.5428,11.73,82.16
-8.1326,111.9541,30.75,81.28
-8.4726,117.4014,24.25,87.57
39.0571,-7.2524,24.56,87.39
14.18417,120.79583,18.71,64.9
46.3434,86.23456,25.36,60.98
59.9127,10.7461,14.17,54.04
-8.7645,120.9863,15.95,65.77
23.2481,112.74336,12.34,51.62
-7.2758,106.9909,13.37,80.39
2.38333,11.28333,20.84,86.75
31.47219,120.12397,18.4,74.77
30.199,67.00971,24.09,72.92
30.24546,120.05287,13.4,71.25
51.22519,22.78414,17.89,87.84
38.2546,-8.4905,7.51,70.97
45.01472,14.62889,27.07,81.4
16.70056,44.41454,18.89,75.82
-28.50918,-59.04009,18.47,47.08
34.34028,134.04333,13.4,66.67
42.42965,68.80463,10.74,65.3
-11.73193,-75.54634,23.38,105.3
52.5167,13.4,22.37,108.64
59.3326,18.0649,31.49,88.13
43.4377,4.9446,28.25,43.01
30.29191,110.2223,22.25,80.4
53.67028,102.31056,18.2,62.66
36.7202,-4.4203,22.73,60.29
-10.2209,120.5592,20.45,73.9
46.80326,-71.17793,27.77,64.57
25.69845,115.59398,18.52,94.7
52.41362,17.91926,16.29,77.06
30.72106,107.7847,24.19,64.18
43.78882,18.16049,18.74,72.63
-9.7028,119.4717,19.83,58.91
-8.572,116.6058,18.2,80.45
27.334,53.179,18.61,76.31
27.58557,114.9855,10.92,78.53
-9.29722,-77.61778,9.31,52.64
15.41667,-87.98333,17.9,87.43
18.83104,-72.86077,20.28,75.8
55.81667,37.86667,20.11,39.9
10.57027,-69.70302,24.57,81.33
-8.2219,111.9507,28.77,70.67
8.5931,-70.2261,19.93,85.08
22.50528,-83.51095,16.52,94.52
40.97139,115.2725,24.41,50.14
8.7514,80.4971,14.9,92.6
25.97028,111.84,4.6,47.08
24.355,102.54222,14.32,60.35
14.76667,-91.81667,25.18,85.2
32.83333,129.85,25.03,60.05
30.58318,73.829,18.71,78.15
7.32233,-73.01516,9.66,62.13
-7.4565,107.9716,13.08,58.58
36.66757,65.7529,11.97,81.88
33.01604,105.18391,13.4,96.28
38.8318,-77.2888,17.51,68.03
22.19043,112.71766,17.71,85.35
-6.3969,105.8842,24.53,80.96
41.25,-8.1,24.97,77.07
-31.17761,-65.10245,22.59,97.29
56.9055,12.4912,17.19,81.85
38.4,-8.7667,13.62,65.33
-7.50204,107.62536,32.93,68.74
54.5378,52.7985,27.14,99.7
9.53567,99.93567,18.3,98.69
21.73333,111.11003,21.65,63.42
50.41615,14.34092,19.73,68.77
6.04167,-74.99278,22.83,95.38
-4.87694,29.62667,24.75,93.14
59.8585,17.6454,23.48,48.69
-8.2099,112.2963,19.85,91.18
-8.0604,111.5793,22.28,130.87
-22.29639,-48.55778,18.84,86.73
-8.4358,115.1772,21.05,79.27
-13.97528,-73.065,29.38,92.13
54.13745,37.58742,19.99,63.77
44.9104,19.44916,15.97,55.99
52.14123,16.89096,28.39,56.99
-32.16351,-63.89157,23.46,30.15
23.73536,112.97782,21.36,70.04
22.65,93.61667,17.44,54.75
22.48898,90.06273,20.33,95.38
45.93583,16.78333,20.18,93.34
32.40314,64.46959,15.71,129.72
-6.47729,111.03794,15.33,80.95
-7.1529,108.2084,18.5,54.95
-7.0676,108.0546,23.01,62.68
61.1153,29.87535,17.12,44.1
41.3107,-8.2155,16.96,67.81
51.85503,16.49805,16.15,114.42
-22.29528,-53.27111,16.75,63.72
44.889,1.2166,11.08,77.4
40.4,-7.9167,24.88,42.34
59.3326,18.0649,13.55,106.38
42.01706,126.58512,23,92.53
44.1333,4.0833,22.67,66.29
11.1781,122.8273,27.73,73.69
-8.1689,111.9561,14.28,84.75
22.15021,-79.97867,16.54,84.1
36.79056,118.06333,17.3,49.19
7.07993,-74.6989,17.36,91.96
4.83916,-75.66726,22.88,78.99
40.3456,-1.1065,19.72,76.34
60.6745,17.1417,21.83,99.8
-19.8,-41.43833,23.56,84.79
48.71603,128.94221,18.26,88.72
19.3378,-101.9355,22.51,76.03
58.6667,16.3833,27.26,86.83
8.58094,-60.99755,23.4,90.04
52.04545,33.94517,16.89,62.67
14.52541,102.24591,17.3,84.33
40.96946,126.58523,16.43,97.64
29.70519,89.23567,13.19,51.26
54.64043,32.87811,18.99,86.47
40.90576,49.08127,21.55,109.87
39.95111,20.09778,14.14,87.87
-6.82052,30.43887,19.24,81.43
-1.16667,36.83333,21,54.12
-9.8781,124.6683,20.47,91.18
48.1122,-1.5233,19.5,97.06
10.20898,123.758,19.03,103.17
49.62739,23.69952,10.89,89.01
40.4209,-8.7214,19.36,58.18
-8.0522,112.4885,25.27,93.03
34.48047,134.17017,20.97,60.99
36.05752,103.82269,14.49,73.65
25.19444,113.35972,20.53,79.23
52.6922,22.02836,23.45,81.99
14.79139,-90.97083,14.45,95.93
-8.1461,115.0968,18.45,74.96
44.4415,42.8762,13.59,93.79
43.73679,7.41647,16.17,84.77
34.25389,108.52222,19.57,117.83
-7.2789,107.0659,21.96,33.18
10.45418,7.63678,15.81,57.75
-34.16667,-53.83333,24.12,82.17
16.16003,100.59656,27.69,76.84
57.62987,39.87368,23.23,66.44
53.39807,-6.26693,27.79,105.2
24.68785,114.9893,29.4,105.83
12.12717,7.6698,19.81,67.68
-8.5588,115.0498,21.4,91.76
-7.55972,109.11861,15.12,135.06
12.16667,-14.66667,29.95,78.46
59.5344,18.0776,22.13,53.8
53.50642,50.27658,21.83,83.3
-8.0487,111.8675,21.16,90.99
49.525,6.04222,13.28,42.13
20.36667,-76.42722,16.4,55.04
-22.11667,-43.20917,24.93,69.61
44.97116,127.96212,15.38,97.95
7.61786,100.07792,19.96,86.97
23.20735,113.23108,28.65,45.7
49.19385,35.23943,24.96,78.35
15.73494,44.23788,22.79,64
25.06528,114.29583,30.1,66.94
40.35,-8.75,17.81,104.6
45.294,19.74306,22.57,95.81
35.5514,-97.4075,25.12,100.52
10.9388,124.545,15.73,111.85
-39.28223,-71.95427,21.72,67.87
28.73351,116.56032,13.71,81.69
41.3,-8.3667,22.04,51.27
40.24254,122.4328,11.48,54.33
57.45516,45.78522,15.01,60.96
10.81667,122.51667,18.01,72.42
14.892,100.31728,12.96,80.67
-9.9621,124.5329,25.58,58.03
30.77198,107.88003,23.03,87.21
6.20222,125.18722,21.72,63.22
40.278,-8.3553,25.93,61.5
-6.4593,105.9208,25.78,93.54
-16.54722,-71.47667,14.3,76.07
28.43406,121.34017,5.51,107.81
54.61935,17.3723,22.42,125.27
16.59888,121.18774,17.7,75.29
55.6759,12.5655,29.92,107.56
-12.74056,-60.14583,15.58,73.74
9.53727,-68.6296,20.89,73.29
42.6,25.55,13.24,74.57
49.94316,19.74157,19.49,90.71
45.04816,20.08165,19.7,79.4
-6.3501,106.0444,19.37,83.95
59.35,17.9167,14.34,45.15
64.8977,45.7655,27.76,87.4
43.8333,4.35,13.7,77.28
-15.15056,-73.34194,14.58,91.57
48.16156,24.94532,21.98,49.05
49.75603,15.48486,19.69,64.26
45.69167,18.39861,25.02,93.7
-2.6832,111.6259,21.19,74.78
58.43078,29.36537,13.46,81.9
44.47,38.3996,14.63,83.84
-11.46556,34.02071,21.99,96.23
19.66273,-71.83798,21.97,54.15
,,19.95,69.15
27.55602,30.80764,20.76,113.93
14.4447,121.401,19.81,56.93
15.3062,120.856,12.16,43.34
42.55139,21.90028,21.67,90.21
10.40788,-85.58836,14.61,117.05
13.69634,100.54212,20.93,79.77
24.43374,100.81989,16.31,90.64
63.2,18.5,15.12,89.38
67.82743,-115.09649,20.94,79.5
24.72063,112.29442,21.72,85.48
-9.5972,119.5876,12.89,80.7
-8.6286,116.5125,17.64,80.32
30.65095,115.10434,21.36,72.92
38.6765,-9.0932,21.53,68
44.1584,87.58578,18.5,64.68
9.83832,-83.86556,20.05,67.3
38.43624,57.43158,15.18,72.47
36.0986,-86.8219,25.04,62.79
-8.2492,114.931,8.84,74.46
-8.094,112.6468,22.85,58.05
60.03947,30.31128,20.27,42.87
44.34216,132.56937,14.36,40.58
-8.2103,112.5542,14.38,71.81
21.87667,-79.84028,21.08,50.73
40.4667,-8.7167,29.97,78.68
31.79304,113.74546,15.47,79.68
33.4253,36.22552,22.87,94.48
12.6171,122.1211,17.06,85.12
8.0402,-2.80003,28.67,22.78
13.36667,123.7,16.37,65.17
38.0025,140.19111,22.91,55.29
14.58386,104.92481,20.58,83.78
30.58124,107.68064,13.89,80.36
-31.52356,27.6952,14.35,80.7
35.8925,14.48278,21.8,102.82
51.65419,20.15553,22.48,42.8
27.5225,108.22806,19.64,56.08
48.8221,2.4122,18.77,114.1
-7.59083,-37.53944,16.51,93.52
45.80833,15.81667,20,86.24
5.63506,5.88956,21.77,56.51
-8.5381,123.51,24.82,88.47
-7.3216,108.3821,22.41,71.42
-8.0482,113.1404,21.8,84.24
58.99778,22.74917,22.76,131.72
26.85324,116.07018,23.46,98.55
-32.84057,-62.86552,26.69,93.99
56.44469,52.22763,20.53,65.07
45.18896,20.51442,23.51,77.09
14.98333,102.65,21.28,95.19
18.54298,109.62355,20.81,89.17
53.26833,-8.92,22.49,71.26
21.75474,111.87764,19.79,98.95
16.03972,104.66939,16.99,89.11
13.4653,123.3899,21.23,93.88
47.23135,39.72328,24.56,98.53
-3.3822,29.3644,15.01,77.95
-7.3722,106.9592,23.13,71.22
5.91677,7.67615,25.46,106.62
39.8032,-121.8673,20.33,72
13.53333,-14.66667,24.65,99.28
10.30416,1.37962,23.31,89.77
-1.8446,102.3081,26.14,112.56
56.60078,39.02173,8.16,89.55
46.3,4.8333,18.32,112.13
39.2856,-76.6899,20.08,80.73
-20.95361,-43.80639,29.01,84.66
31.00983,121.215,25.18,83.11
48.12662,40.20556,23.46,60.3
35.6659,50.9767,20.86,61.34
29.68389,118.91444,20.66,51.95
10.57716,123.4232,8.74,101.35
42.75974,46.83959,21.89,51.77
-20.73306,-42.02944,20.49,109.37
6.52333,124.63,17.4,87.52
-2.90222,-40.84111,18.62,63.33
28.11175,114.4524,20.94,101.81
-8.3331,118.9782,26.9,124.38
32.71557,44.27857,22.13,97.43
15.31667,-87.16667,27.13,90.24
49.33697,18.19793,17.42,70.97
-9.7089,124.2564,21.63,121.95
48.4748,44.78096,20.89,106.61
-8.0402,111.6023,17.57,114.77
34.88333,135.8,18.76,66.61
10.28056,15.37222,14.47,51.36
40.1019,-7.4885,29.83,76.66
46.02333,16.03917,23.18,68.78
-7.90577,39.21047,20.68,54.26
39.97422,116.04854,22.02,105.74
29.6156,107.23286,18.31,68.05
25.55478,119.41991,23.62,88.21
-7.0993,107.9342,21.66,82.07
32.19278,119.4705,21.49,92.58
19.8037,-99.0419,19.53,87.08
-7.7721,108.1407,12.19,82.03
27.52173,114.06927,19.98,56.15
2.81388,31.93868,19.66,66.71
13.81436,120.20022,16.89,74.9
52.54682,19.70638,23.72,85.36
-31.42414,-64.49778,12.83,62.1
46.6667,4.3667,12.36,73.16
49.70866,20.94767,24.75,58.98
48.04878,28.89234,17.05,87.03
18.9137,100.9417,18.28,66.92
44.15009,-81.03303,13.01,109.81
49.94691,35.92907,17.93,90.15
-12.19556,44.27667,16.46,96.2
52.16772,22.29006,17.65,66.84
-6.9866,113.8753,12.88,73.62
6.82055,-5.27674,21.54,96.15
17.4471,120.5247,18.05,74.24
38.7,-9.3667,23.74,95.16
-31.08841,-64.48987,13.14,55.56
39.46667,141.95,18.47,90.75
43.20697,46.8679,21.67,91.57
32.45661,35.22649,27.7,58.09
40.41344,23.0075,23.33,57.57
13.34302,-86.62184,21.94,75.52
23.9196,115.7801,21.08,44.55
11.5293,124.8362,19.31,119.93
22.59653,113.10266,20.74,81.91
22.59825,112.21376,11.61,107.74
24.1008,116.87549,22.93,90.26
40.42639,49.98361,12.32,74.38
20.71176,-77.9986,18.79,67.41
19.6792,-96.9392,20.42,63.77
45.5483,-122.8276,22.72,59.46
52.99333,58.10139,12.92,60.23
53.36167,84.58222,23.51,106.59
-7.16778,112.71917,22.91,103.07
13.62,99.59169,7.17,85.64
7.25957,-8.15498,21.64,95.51
28.95639,116.81944,19.39,96.37
47.18418,35.10881,23.77,61.76
51.66638,16.53494,26.26,76.67
39.28167,21.90611,22.31,69.52
7.0172,125.992,20.98,65.44
22.16841,107.94309,23.61,84.11
48.28198,37.17585,28.75,97
35.65583,139.32389,22.05,73.59
18.2717,-76.76523,20.09,75.83
32.90871,35.63198,21.08,87.66
-7.2801,108.1944,26.24,104.67
46.01966,29.66567,27.63,91.51
46.8167,1.7,11.11,92.38
58.1521,8.0726,16.22,95.68
19.2902,-99.825,14.15,74.47
59.3326,18.0649,19.31,54.29
-2.5691,140.5127,26.04,94.47
44.59267,130.327,22.27,53.72
47.4497,-122.3076,28.79,118.55
8.4803,123.2629,19.13,72.88
31.16946,108.4031,18.67,72.74
40.98333,68.9,16.62,74.82
60.90009,131.97882,13.41,105.51
45.7485,4.8467,25.58,79.02
-7.87639,110.35889,11.01,65.83
-8.3424,113.6816,19.71,67.23
23.29243,116.65444,19.76,91.99
-6.675,106.1737,22.2,90.84
5.47775,10.41759,19.28,87.13
-30.08111,-51.02333,19.85,63.67
40.60215,22.1943,24.92,119.51
46.0333,4.0667,20.96,73.49
60.26013,20.77892,20.75,79.3
-10.32,-36.57944,13.85,47.18
30.9102,113.34287,23.3,86.42
-4.97139,-39.01528,16.64,49.73
-6.9994,111.9872,13.11,77.73
49.00135,132.46826,19.13,75.3
39.6608,-8.9806,25.29,97.94
55.6794,12.5346,19.58,74.13
2.25139,34.25012,27.62,21.92
52.13359,20.80313,20.68,69.72
-23.41944,-51.42444,25.18,80.46
51.81376,19.96877,22.19,94.66
-24.87158,25.86989,7.72,78.13
54.24111,16.88968,26.84,68.41
-6.8994,112.3461,18.78,91.31
52.5167,13.4,20.35,80.34
49.11412,16.19022,23.74,74.2
29.0231,106.648,24.17,75.92
5.95,121.2,32.67,75.86
47.9,20.3833,20.4,99.71
31.78377,119.68948,12.1,70.81
60.9344,76.5531,20.35,58.75
-8.7485,121.8521,18.04,64.06
34.38333,131.2,18.67,104.23
30.49875,119.00447,21.94,87.35
